sample-id	Group	forward-absolute-filepath	reverse-absolute-filepath
OK35	Marshall_County	/project/stuckert/jdkoussa/tfinal/data_new/SRR26291156_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR26291156_2.fastq.gz
OK36	Marshall_County	/project/stuckert/jdkoussa/tfinal/data_new/SRR26291167_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR26291167_2.fastq.gz
OK37	Marshall_County	/project/stuckert/jdkoussa/tfinal/data_new/SRR26291168_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR26291168_2.fastq.gz
SD2	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766179_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766179_2.fastq.gz
SD3	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766180_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766180_2.fastq.gz
SD4	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766181_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766181_2.fastq.gz
SD5	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766182_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766182_2.fastq.gz
SD6	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766183_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766183_2.fastq.gz
SD7	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766184_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766184_2.fastq.gz
SD8	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766185_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766185_2.fastq.gz
SD9	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766186_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766186_2.fastq.gz
SD10	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766187_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766187_2.fastq.gz
SD11	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766188_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766188_2.fastq.gz
SD12	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766189_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766189_2.fastq.gz
SD13	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766190_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766190_2.fastq.gz
SD14	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766191_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766191_2.fastq.gz
SD15	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766192_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766192_2.fastq.gz
SD16	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766193_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766193_2.fastq.gz
SD17	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766194_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766194_2.fastq.gz
SD18	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766195_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766195_2.fastq.gz
SD19	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766196_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766196_2.fastq.gz
SD20	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766197_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766197_2.fastq.gz
SD21	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766198_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766198_2.fastq.gz
SD22	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766199_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766199_2.fastq.gz
SD23	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766200_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766200_2.fastq.gz
SD24	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766201_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766201_2.fastq.gz
